region,device,plan,satisfaction
West,Desktop,Enterprise,High
South,Mobile,Basic,High
North,Mobile,Basic,High
North,Desktop,Enterprise,Medium
East,Desktop,Enterprise,Medium
West,Mobile,Enterprise,High
West,Mobile,Enterprise,High
East,Tablet,Premium,Medium
East,Tablet,Premium,Medium
West,Tablet,Basic,Low
West,Mobile,Premium,Medium
South,Tablet,Premium,Low
West,Mobile,Premium,High
South,Mobile,Enterprise,High
South,Desktop,Premium,High
South,Mobile,Basic,Medium
South,Desktop,Premium,Medium
North,Desktop,Enterprise,High
East,Mobile,Premium,High
East,Mobile,Basic,Low
West,Tablet,Premium,Medium
East,Mobile,Basic,Medium
East,Tablet,Enterprise,Low
North,Tablet,Basic,High
South,Mobile,Basic,High
South,Tablet,Enterprise,Medium
South,Desktop,Basic,Medium
East,Desktop,Premium,High
East,Mobile,Premium,Low
West,Mobile,Basic,Low
North,Mobile,Premium,Low
North,Desktop,Premium,Medium
West,Tablet,Enterprise,Low
West,Desktop,Basic,Medium
West,Tablet,Premium,Medium
South,Tablet,Basic,High
South,Mobile,Basic,High
South,Mobile,Premium,Low
South,Mobile,Enterprise,Low
West,Desktop,Enterprise,Medium
West,Desktop,Basic,High
West,Desktop,Enterprise,High
South,Mobile,Premium,Medium
South,Mobile,Premium,Low
East,Tablet,Enterprise,Low
West,Tablet,Enterprise,Medium
North,Mobile,Basic,High
North,Desktop,Enterprise,Medium
East,Mobile,Basic,Medium
South,Desktop,Premium,Low
West,Mobile,Enterprise,High
South,Mobile,Basic,Low
South,Tablet,Basic,Low
North,Desktop,Basic,High
North,Desktop,Basic,Low
West,Mobile,Premium,Medium
West,Tablet,Enterprise,Medium
South,Mobile,Basic,High
South,Mobile,Enterprise,Medium
East,Desktop,Enterprise,Medium
South,Mobile,Premium,Medium
East,Tablet,Enterprise,Medium
South,Mobile,Premium,Low
South,Tablet,Premium,Medium
South,Desktop,Basic,High
West,Desktop,Premium,Low
West,Mobile,Basic,Medium
