feature_a,feature_b,rating_score
51.56,118.37,11
58.25,77.09,13
45.52,96.76,9
25.58,80.94,8
57.08,108.52,5
57.3,98.75,9
36.78,139.57,11
55.14,92.43,14
54.98,64.79,9
60.79,98.81,1
48.94,103.96,12
34.78,87.47,6
45.16,84.92,11
45.12,76.05,5
48.83,109.63,6
51.22,111.83,10
47.63,148.63,3
53.96,96.66,14
39.02,103.05,3
53.6,95.16,10
42.41,154.14,5
47.99,112.36,7
31.71,100.04,4
59.44,142.06,6
46.94,98.81,5
53.39,170.84,2
41.79,133.28,13
44.4,99.58,11
40.34,110.25,12
51.59,102.54,1
55.75,115.08,6
39.99,88.41,5
51.4,141.94,9
47.55,86.95,12
51.94,105.09,7
41.02,107.35,1
54.65,93.69,13
47.21,74.22,10
48.62,104.82,6
73.41,104.96,11
32.38,93.42,7
55.4,94.21,3
54.35,103.08,14
56.31,124.91,9
55.86,123.49,11
51.93,109.63,14
54.08,91.42,14
76.86,93.2,11
48.28,95.13,2
48.17,91.0,1
39.33,77.96,10
41.75,84.41,10
52.24,112.05,12
53.69,87.16,9
48.87,100.72,7
56.52,100.02,10
45.99,109.18,13
74.85,86.79,11
51.53,33.84,1
56.74,87.67,4
51.62,81.52,10
43.98,57.99,13
44.93,88.93,3
38.53,86.31,11
32.78,99.45,7
59.5,110.49,5
43.91,137.49,9
49.36,101.86,11
65.33,100.6,3
61.69,139.96,11
51.5,74.62,6
47.89,75.94,10
48.47,112.05,2
72.02,126.31,3
51.72,128.64,4
79.92,63.91,6
36.99,64.49,11
50.47,97.66,1
61.66,114.18,15
60.8,92.37,15
56.32,76.46,6
43.9,74.53,4
36.87,120.72,8
48.21,121.33,9
60.43,112.61,8
67.0,99.0,8
51.11,82.65,13
49.02,61.84,13
52.09,69.95,2
52.2,59.24,14
61.87,94.0,10
46.32,109.31,2
48.82,101.32,6
54.62,128.32,15
43.68,103.58,5
40.81,67.12,6
64.04,97.27,9
49.76,97.87,12
58.91,109.99,10
56.9,116.95,7
36.25,109.44,5
43.48,90.27,10
50.64,127.61,7
47.59,116.73,8
52.45,48.19,11
51.86,115.26,12
57.86,82.29,1
49.56,64.91,10
50.69,105.04,11
35.63,146.47,11
43.99,98.94,7
44.48,94.22,4
45.56,101.93,5
46.29,147.81,13
56.0,94.64,2
67.72,119.67,10
36.5,92.04,5
48.0,88.39,9
41.34,128.24,1
36.62,77.95,3
44.72,114.93,4
39.47,93.16,9
52.33,84.86,2
48.37,91.64,7
47.02,54.97,9
53.08,79.0,12
35.68,102.68,10
39.87,95.05,4
53.55,81.08,5
39.76,129.63,12
29.58,80.13,12
66.02,128.74,12
53.42,102.94,10
60.16,94.73,4
42.75,101.87,12
36.17,105.87,7
52.88,80.89,8
38.98,81.43,8
60.19,95.99,15
52.39,108.74,14
51.95,113.27,14
52.06,124.91,15
70.34,75.43,3
56.55,107.13,2
47.97,99.74,6
51.37,89.34,12
41.3,140.07,1
44.76,108.64,12
62.51,128.58,9
50.43,32.73,7
57.63,120.94,8
41.1,110.72,7
58.46,114.04,5
48.02,94.14,5
52.27,142.21,7
50.6,96.06,7
51.82,99.63,2
48.91,80.43,2
62.84,99.21,7
34.95,96.51,5
55.33,121.44,2
43.32,112.69,15
40.44,123.47,1
71.38,97.84,9
40.49,93.21,11
31.83,117.68,8
59.56,103.16,2
45.07,52.79,2
62.75,90.95,3
27.49,56.28,4
68.54,83.69,9
59.43,120.52,12
47.92,93.27,6
32.67,94.61,3
36.68,96.12,14
43.09,100.22,15
57.14,93.3,8
41.38,136.33,6
29.5,65.93,8
52.28,104.58,10
59.96,111.12,12
71.97,82.1,2
39.74,112.91,15
40.8,86.64,8
20.06,109.6,11
34.53,74.76,5
39.34,101.75,10
41.07,144.6,14
44.66,81.9,15
55.92,91.69,14
55.11,132.99,12
44.86,124.73,4
50.15,134.97,3
36.42,92.61,12
44.35,106.94,9
37.08,109.22,10
42.6,84.46,7
68.56,77.65,7
51.45,75.18,6
44.06,89.97,9
54.78,74.44,3
46.05,86.46,14
66.84,79.88,1
53.53,110.24,7
38.39,107.9,9
63.19,88.57,15
56.19,93.17,6
54.67,111.91,10
58.26,92.9,2
57.29,88.09,13
55.12,73.42,8
48.38,126.11,9
59.06,67.58,10
48.28,93.69,15
63.28,82.29,8
54.98,102.91,9
51.87,91.05,1
56.33,101.68,3
51.58,83.19,3
62.75,90.93,14
59.49,73.06,9
50.73,79.83,3
17.41,90.74,15
58.63,103.29,14
54.17,97.06,10
74.27,127.27,1
37.01,69.73,3
47.82,94.77,2
34.54,54.54,9
42.72,96.68,14
65.58,86.58,1
33.35,89.68,11
36.08,86.36,2
55.8,108.7,1
51.94,105.6,9
46.71,75.88,7
24.34,95.49,14
62.66,69.59,13
47.65,65.85,1
39.8,108.01,13
53.21,77.26,13
62.56,87.72,10
47.34,104.39,12
43.51,99.65,6
50.36,128.08,5
53.83,74.86,10
54.76,124.39,14
47.54,111.57,15
62.31,115.2,11
41.22,92.17,5
48.27,80.96,4
48.23,101.9,3
34.6,80.87,14
53.63,80.23,13
50.93,103.01,8
48.09,121.04,7
55.06,67.92,5
48.05,126.14,12
64.1,75.17,9
54.71,93.87,12
53.75,94.18,7
43.26,90.32,10
31.12,95.26,2
58.03,102.69,15
31.12,125.45,7
47.32,95.96,7
58.81,81.75,4
41.33,78.62,12
45.39,106.38,12
36.06,116.35,8
40.78,87.02,4
42.05,118.33,7
45.38,143.37,4
51.29,126.39,13
52.31,85.51,8
64.46,120.63,14
45.14,118.5,14
55.57,101.26,3
43.64,117.95,2
66.76,115.21,10
51.24,124.95,6
47.93,111.58,7
42.08,115.1,7
59.06,79.59,6
51.3,99.96,11
52.05,85.0,8
39.44,123.91,12
42.18,72.84,6
32.38,56.23,15
44.91,71.68,6
45.21,95.44,3
36.55,59.53,12
49.28,62.14,2
46.52,113.3,15
42.74,72.14,7
41.43,120.1,6
51.66,73.56,1
42.22,57.26,2
66.44,79.42,2
48.16,74.24,1
