tenure_months,monthly_spend,support_tickets,contract_type,paperless_billing,usage_gb,churn
13,24.86,3,One-Year,Yes,431.2,0
2,85.03,0,One-Year,Yes,455.5,1
68,131.07,1,One-Year,Yes,453.0,1
48,96.44,2,One-Year,Yes,417.1,0
3,55.99,0,One-Year,Yes,209.2,0
68,71.7,2,Month-to-Month,No,87.9,1
6,108.43,2,Month-to-Month,No,173.6,1
5,135.81,2,Month-to-Month,No,386.0,0
3,25.34,0,Month-to-Month,Yes,124.1,1
10,29.3,0,Month-to-Month,No,244.4,0
43,62.26,2,Month-to-Month,No,287.0,1
19,50.26,0,Month-to-Month,Yes,305.9,1
14,54.44,2,One-Year,Yes,468.5,1
21,48.77,1,Two-Year,Yes,334.1,1
43,45.46,3,Two-Year,Yes,395.3,0
28,36.98,1,Month-to-Month,No,295.1,0
21,141.41,0,Month-to-Month,Yes,418.5,0
36,38.74,3,Month-to-Month,Yes,139.2,0
24,46.57,1,Two-Year,Yes,112.8,0
54,52.01,3,One-Year,Yes,463.9,0
38,141.29,3,Month-to-Month,Yes,349.8,0
17,118.24,2,Two-Year,No,339.0,1
22,122.66,1,Month-to-Month,Yes,239.0,1
45,33.62,2,Two-Year,No,194.6,0
61,128.72,2,Month-to-Month,Yes,282.3,0
11,73.07,3,Month-to-Month,Yes,69.1,1
61,54.17,1,One-Year,Yes,232.8,0
38,94.85,2,Two-Year,No,233.1,0
66,126.88,1,Two-Year,Yes,273.8,0
33,121.22,3,One-Year,Yes,321.0,0
43,135.7,1,Month-to-Month,Yes,479.1,1
31,140.66,0,Month-to-Month,No,329.6,0
35,50.96,1,Two-Year,Yes,443.0,0
37,75.1,2,One-Year,Yes,282.6,0
47,21.9,1,One-Year,Yes,317.2,0
23,134.31,2,Month-to-Month,Yes,44.2,1
36,40.09,0,One-Year,No,75.3,0
40,131.99,1,Month-to-Month,No,294.0,1
15,62.82,2,One-Year,Yes,203.9,1
37,67.86,2,Two-Year,No,401.4,0
4,25.09,2,One-Year,No,276.2,1
22,62.49,3,Month-to-Month,Yes,442.3,0
22,135.49,4,Month-to-Month,No,486.4,1
17,23.32,3,Month-to-Month,Yes,82.3,1
38,72.82,2,Two-Year,Yes,203.5,0
24,24.08,0,Month-to-Month,Yes,335.8,0
6,68.22,4,Two-Year,Yes,159.7,0
68,42.44,3,One-Year,Yes,140.8,0
6,52.79,0,One-Year,No,408.7,0
26,134.09,1,Two-Year,No,490.4,0
41,76.69,4,One-Year,No,389.2,1
38,55.59,4,Two-Year,Yes,266.6,0
43,96.61,1,Month-to-Month,No,226.8,1
53,38.47,4,One-Year,Yes,274.4,0
15,53.72,3,One-Year,Yes,236.8,1
56,91.01,0,Month-to-Month,Yes,256.4,0
56,50.88,3,One-Year,Yes,109.7,0
31,108.29,0,One-Year,Yes,452.8,0
57,83.89,1,Two-Year,Yes,379.7,0
51,120.36,3,Month-to-Month,No,343.7,1
24,143.27,3,One-Year,No,475.5,1
58,35.05,1,Month-to-Month,No,149.4,1
4,63.51,5,One-Year,Yes,49.8,1
10,61.54,7,Month-to-Month,No,414.8,1
63,39.65,2,One-Year,No,499.2,1
15,125.34,0,Month-to-Month,Yes,293.4,0
63,118.78,1,Month-to-Month,No,38.8,0
19,82.98,4,Month-to-Month,Yes,392.4,1
63,89.91,1,Month-to-Month,Yes,46.1,1
56,27.74,1,One-Year,Yes,274.6,0
21,92.22,2,Two-Year,Yes,146.0,0
34,122.87,1,Month-to-Month,No,458.4,0
17,94.6,1,Month-to-Month,Yes,231.2,1
18,54.49,2,Month-to-Month,Yes,450.2,1
66,106.78,0,One-Year,No,156.5,0
51,66.99,1,Month-to-Month,No,199.8,0
65,90.83,0,Month-to-Month,Yes,474.1,0
43,83.38,2,Month-to-Month,Yes,108.6,0
57,69.55,1,Month-to-Month,Yes,293.5,0
10,113.45,0,Month-to-Month,Yes,200.4,1
37,134.9,1,Month-to-Month,Yes,389.3,0
48,20.68,0,One-Year,Yes,73.4,0
69,141.37,1,One-Year,No,224.2,0
56,86.5,0,Month-to-Month,No,352.5,0
36,111.1,4,One-Year,Yes,209.4,0
31,131.23,3,Month-to-Month,Yes,38.7,1
55,80.72,0,Two-Year,Yes,355.5,0
38,128.55,4,Month-to-Month,Yes,256.6,1
15,43.09,1,One-Year,Yes,15.5,1
16,40.69,1,One-Year,Yes,310.2,0
53,105.47,3,Month-to-Month,Yes,460.7,1
56,133.12,2,Two-Year,Yes,64.4,0
7,136.02,1,Month-to-Month,Yes,299.4,1
57,103.69,0,One-Year,Yes,367.0,1
55,88.31,2,Month-to-Month,Yes,44.7,1
52,63.08,4,Month-to-Month,Yes,21.1,0
4,147.4,0,One-Year,Yes,237.5,0
43,61.56,1,Month-to-Month,Yes,397.7,0
40,116.74,1,Month-to-Month,Yes,88.8,1
30,89.16,2,Month-to-Month,Yes,420.0,1
10,99.11,4,One-Year,Yes,331.7,1
7,71.15,2,Month-to-Month,No,172.8,1
36,145.43,1,Month-to-Month,Yes,262.8,1
35,94.32,1,One-Year,Yes,483.1,0
39,141.91,0,Month-to-Month,No,116.1,1
36,20.99,2,Month-to-Month,No,254.8,0
20,94.45,2,Month-to-Month,Yes,316.0,1
49,113.23,1,Month-to-Month,No,77.6,1
59,116.86,0,Month-to-Month,Yes,31.3,0
49,137.65,0,Two-Year,No,16.6,0
26,20.57,1,Month-to-Month,Yes,169.1,0
36,20.04,0,Month-to-Month,No,46.2,0
43,81.39,1,Month-to-Month,No,403.8,1
43,23.81,3,Month-to-Month,Yes,498.7,0
33,146.69,1,One-Year,No,40.0,1
45,48.87,3,Month-to-Month,Yes,222.0,1
45,81.45,4,Month-to-Month,Yes,22.6,1
15,27.95,0,Month-to-Month,Yes,75.7,0
17,87.87,1,Two-Year,No,168.2,0
12,69.39,3,Month-to-Month,Yes,202.9,1
22,25.81,0,Month-to-Month,Yes,470.5,0
23,63.57,0,One-Year,Yes,204.0,0
12,70.89,2,Month-to-Month,Yes,253.2,1
68,148.69,1,One-Year,Yes,130.3,1
51,47.03,0,One-Year,No,10.1,0
13,90.82,2,Month-to-Month,No,450.7,1
57,148.35,2,One-Year,Yes,50.0,0
55,122.96,3,Two-Year,Yes,482.5,0
28,149.14,1,One-Year,Yes,74.1,1
44,145.88,2,Two-Year,Yes,306.4,0
