sqft,bedrooms,bathrooms,location_score,year_built,garage_capacity,price,price_bucket_proxy
2248.4,3,3.4,2.3,1971,1,575900.0,564870.95
1930.9,1,2.0,4.98,1988,3,564400.0,552808.9
2323.8,2,2.9,4.01,2003,0,626200.0,612784.56
2761.5,2,2.0,5.7,2007,3,748900.0,733958.2
1882.9,4,3.7,6.27,1974,2,639900.0,627697.0
1882.9,4,4.4,1.08,1988,2,536000.0,526075.65
2789.6,1,1.7,7.85,2004,2,807300.0,791100.35
2383.7,5,4.8,7.42,2002,2,830900.0,814303.79
1765.3,3,3.4,4.3,2021,0,563400.0,552391.77
2271.3,2,2.7,1.48,2008,2,570600.0,559055.83
1768.3,1,2.2,7.79,1980,2,567700.0,556604.2
1767.1,3,3.7,9.6,1974,2,670600.0,657145.3
2121.0,4,4.2,3.16,1973,2,598700.0,587231.68
1043.4,3,3.0,3.91,2001,0,415200.0,407257.49
1137.5,1,2.1,2.65,2003,2,356600.0,349873.11
1718.9,1,1.3,6.19,1975,2,538700.0,527823.34
1493.6,3,3.0,2.39,1974,1,430900.0,423244.96
2157.1,2,2.9,4.21,2001,1,598400.0,586673.96
1546.0,2,2.3,7.27,2022,2,591000.0,579303.65
1293.8,2,2.2,6.04,1963,2,456900.0,447381.53
2732.8,4,3.6,4.48,1986,1,731400.0,716723.46
1887.1,4,4.4,4.78,1982,2,584100.0,572475.19
2033.8,3,3.3,6.06,1988,1,630800.0,617790.16
1287.6,4,4.2,1.05,2000,0,393300.0,385287.84
1727.8,2,2.2,1.71,2012,0,443900.0,434939.1
2055.5,3,3.5,8.93,2011,0,727300.0,712781.96
1424.5,2,2.8,1.7,2022,1,432000.0,422478.65
2187.8,3,3.1,7.36,1968,1,679900.0,666234.36
1699.7,5,4.7,9.28,2012,2,745900.0,730793.33
1854.2,3,3.0,3.44,2016,2,574100.0,562607.56
1699.1,3,3.7,4.33,2015,0,543200.0,532853.64
2926.1,3,3.4,6.12,2011,1,809400.0,794238.2
1993.3,2,2.9,8.94,2002,1,695300.0,681733.19
1471.1,4,3.8,9.48,2002,2,669500.0,655492.79
2411.3,3,3.5,7.66,1966,0,738200.0,723263.3
1389.6,3,3.5,1.78,2012,0,441100.0,432575.98
2104.4,3,3.4,7.02,2001,3,694800.0,681145.65
1020.2,3,3.7,4.69,1963,2,411200.0,403469.66
1335.9,1,1.6,5.24,1964,1,428800.0,420175.32
2098.4,3,2.9,1.44,1964,1,522800.0,512162.25
2369.2,2,2.7,2.72,1970,1,588900.0,577998.21
2085.7,3,3.5,8.11,2022,2,733900.0,719251.34
1942.2,4,4.1,5.09,2000,2,619100.0,606209.66
1849.4,4,3.7,3.71,1987,0,536800.0,526801.57
1260.7,3,3.3,4.46,1975,2,459000.0,449071.95
1640.1,3,3.1,8.69,2000,1,641800.0,627216.48
1769.7,2,2.4,7.74,2013,1,606800.0,595048.69
2528.6,4,4.1,3.45,1989,1,684500.0,671265.35
2171.8,2,2.7,2.06,1963,1,526600.0,516275.01
1118.5,3,3.0,3.27,2022,1,406400.0,397620.77
2162.0,2,2.4,9.29,1961,1,707500.0,693320.57
1807.5,2,2.3,6.23,2005,1,579100.0,567378.92
1661.5,3,2.9,5.8,1962,0,544400.0,533243.36
2305.8,1,2.0,6.37,2009,2,664400.0,651818.03
2515.5,3,3.7,4.29,1980,1,660100.0,646374.67
2465.6,2,2.4,8.26,1965,0,706300.0,692332.05
1580.4,1,2.0,5.71,2002,2,518400.0,508629.02
1845.4,3,3.6,2.05,2012,2,527400.0,517042.72
2165.6,1,2.1,2.16,1977,2,514400.0,504732.56
2487.8,2,2.2,5.83,2003,1,699400.0,685693.86
1760.4,3,3.7,9.43,1964,1,652600.0,639762.67
1907.2,1,1.6,3.78,1968,2,497300.0,487537.42
1446.8,4,3.8,8.83,1979,2,596200.0,584582.72
1401.9,1,1.3,7.88,1987,1,517300.0,506761.23
2406.3,2,2.5,3.23,1985,3,622500.0,609399.06
2678.1,3,2.9,1.33,1977,0,632800.0,620621.02
1964.0,2,2.2,1.92,1978,3,488100.0,478918.87
2501.8,2,2.3,7.56,1962,2,691300.0,677599.99
2180.8,3,3.6,2.8,1968,2,586300.0,574299.81
1677.4,2,2.9,4.34,1995,3,538500.0,526951.14
2180.7,4,3.8,5.52,2023,2,691300.0,677516.9
2769.0,2,2.9,7.53,1990,1,762500.0,746575.52
1982.1,4,4.4,2.02,2008,1,591500.0,578925.51
2782.3,4,4.3,4.66,1976,0,762900.0,747631.63
690.1,3,2.9,5.37,2022,1,360500.0,352908.12
2411.0,4,4.2,5.87,2014,2,747400.0,732624.65
2043.5,3,3.7,8.37,1982,1,718900.0,704442.35
1850.5,5,4.9,2.55,1993,1,559800.0,548300.68
2045.9,1,1.6,8.27,2000,2,653900.0,639969.54
1006.2,3,3.3,7.24,2000,2,494400.0,484085.56
1890.2,3,3.4,6.0,1964,0,562500.0,550841.93
2178.6,3,3.3,7.3,1974,1,654800.0,641091.35
2738.9,3,2.9,4.71,2006,1,753100.0,737873.48
1740.9,3,3.1,2.25,1962,2,445700.0,436212.37
1595.8,1,2.1,6.99,1978,0,520300.0,509812.13
1749.1,2,2.9,5.72,1987,2,577600.0,566168.21
2457.7,3,2.9,6.75,1962,1,680900.0,666868.92
2164.4,3,3.7,4.04,1997,1,605800.0,593896.7
1735.1,5,4.6,9.16,1963,3,722200.0,707075.32
2256.6,4,4.2,6.29,1983,0,700100.0,685541.91
2048.5,5,5.0,1.77,1990,1,572700.0,561189.39
2484.3,3,3.6,5.05,2004,0,714800.0,700847.52
1649.0,2,2.9,7.81,2018,1,631300.0,619107.7
1836.2,2,2.3,8.15,2004,2,651000.0,638786.2
1803.9,4,4.4,5.45,2018,1,616700.0,604177.71
1268.2,3,2.9,9.05,1970,0,536200.0,525412.25
2148.1,1,2.0,3.41,1996,1,554000.0,542403.66
2130.5,3,3.5,4.7,1960,2,605100.0,592371.12
2002.6,5,4.9,9.09,1968,2,761900.0,746776.29
1882.7,3,3.0,9.07,1976,2,656400.0,642884.06
1292.3,3,3.6,7.17,2013,2,540100.0,529914.19
1789.7,3,2.9,8.73,1960,1,632900.0,619510.81
1828.6,2,2.1,1.8,1962,1,433600.0,425171.18
1598.9,3,3.5,8.78,2006,1,631800.0,618661.13
1919.4,3,3.2,3.89,1985,1,529500.0,518499.78
2202.0,1,2.1,2.6,2012,1,553600.0,542797.56
2943.1,4,3.9,3.15,1990,2,758600.0,743090.06
2087.3,3,2.9,4.76,1985,2,624400.0,611654.11
2128.8,4,4.3,3.26,1982,3,624900.0,611995.92
1962.8,4,4.0,3.89,1989,1,589600.0,578700.51
1040.6,2,2.2,2.21,1969,2,343900.0,336713.26
1986.7,3,3.5,3.67,1967,2,542200.0,531381.78
2030.1,3,3.3,6.15,2003,2,666200.0,652775.04
3231.6,4,4.1,4.98,1984,1,819400.0,803122.71
1903.8,2,2.5,4.12,2023,1,553500.0,542122.63
2150.8,3,3.6,7.72,1981,0,666900.0,653461.59
1982.6,3,3.6,9.04,1974,1,704000.0,690116.98
1415.7,2,2.7,7.81,2018,2,577900.0,565910.5
2571.4,2,2.1,3.99,2000,0,649600.0,637152.66
2376.0,3,3.6,7.7,2015,1,745800.0,731476.74
2395.5,3,3.4,2.37,2016,2,636500.0,624073.25
1545.3,2,2.7,2.17,1969,2,410600.0,402422.94
2701.4,3,3.1,4.11,1979,1,702200.0,686660.7
1299.1,3,3.6,8.27,2000,2,565900.0,554794.15
2293.4,3,3.5,3.22,2006,1,647000.0,633864.33
3095.2,2,2.1,1.57,1982,1,654000.0,640796.86
1504.7,4,3.9,2.19,2012,1,471800.0,461415.31
1716.9,2,2.9,8.73,2012,2,678800.0,665470.79
2049.8,3,2.8,6.7,1960,3,638600.0,625103.71
1748.3,1,2.2,3.28,1961,0,419100.0,410777.21
1224.7,2,2.7,6.0,2017,2,501700.0,492118.33
2034.3,3,3.4,5.75,1978,1,612900.0,600407.34
1468.8,2,2.3,6.9,2021,2,550700.0,540294.03
2236.8,4,3.7,3.1,1973,0,578500.0,566556.5
1540.3,1,2.2,8.78,1967,1,595300.0,583694.22
2775.0,3,3.0,3.78,1997,2,720900.0,705829.61
1608.4,2,2.8,7.25,1971,2,534200.0,524031.57
1839.0,1,1.6,1.15,1985,1,446200.0,437714.0
2406.8,2,2.1,4.35,1986,1,637200.0,624690.18
1384.6,3,2.8,4.17,1988,1,452900.0,443645.36
2113.7,3,3.3,5.89,1974,1,619600.0,606507.0
2653.6,3,3.7,1.65,2005,2,674500.0,660814.68
1196.3,3,3.1,8.11,2012,3,568200.0,557391.15
2092.3,3,3.1,2.96,2020,1,561900.0,550726.98
2129.9,1,1.6,7.09,1960,1,631700.0,618289.48
