dataset,task,alpha,stability,performance_metric,performance_value,performance_std,mean_features,total_features,runtime_seconds
breast_cancer,classification,0.0,0.8333,macro_f1,0.9531,0.0163,15,30,0.241
breast_cancer,classification,0.25,0.8333,macro_f1,0.9529,0.0222,15,30,0.24
breast_cancer,classification,0.5,0.8333,macro_f1,0.9529,0.0222,15,30,0.232
breast_cancer,classification,0.7,0.8333,macro_f1,0.9507,0.02,15,30,0.235
breast_cancer,classification,0.85,0.8333,macro_f1,0.9505,0.0228,15,30,0.235
breast_cancer,classification,1.0,0.8333,macro_f1,0.9554,0.017,15,30,0.234
adult_income,classification,0.0,0.8929,macro_f1,0.7713,0.0092,50,100,3.281
adult_income,classification,0.25,0.8929,macro_f1,0.7719,0.0076,50,100,3.158
adult_income,classification,0.5,0.8929,macro_f1,0.7719,0.0076,50,100,3.563
adult_income,classification,0.7,0.8929,macro_f1,0.7697,0.0081,50,100,3.913
adult_income,classification,0.85,0.9091,macro_f1,0.7718,0.006,50,100,3.1
adult_income,classification,1.0,0.9091,macro_f1,0.7746,0.0062,50,100,3.112
california_housing,regression,0.0,1.0,rmse,0.5932,0.012,4,8,6.58
california_housing,regression,0.25,1.0,rmse,0.5932,0.012,4,8,6.369
california_housing,regression,0.5,1.0,rmse,0.5932,0.012,4,8,7.22
california_housing,regression,0.7,1.0,rmse,0.5932,0.012,4,8,7.392
california_housing,regression,0.85,1.0,rmse,0.5932,0.012,4,8,7.421
california_housing,regression,1.0,1.0,rmse,0.5932,0.012,4,8,8.019
bike_sharing,regression,0.0,1.0,rmse,91.6265,2.5676,6,12,4.703
bike_sharing,regression,0.25,1.0,rmse,91.6257,2.5679,6,12,4.707
bike_sharing,regression,0.5,1.0,rmse,91.6257,2.5679,6,12,4.557
bike_sharing,regression,0.7,1.0,rmse,91.6257,2.5679,6,12,4.619
bike_sharing,regression,0.85,1.0,rmse,91.6257,2.5679,6,12,5.166
bike_sharing,regression,1.0,1.0,rmse,91.6257,2.5679,6,12,5.151
